Date,Raw_Close,Adj_Close,Daily_Return_Pct,Cum_Return_Pct
2020-07-01,22.62,19.08,0.6674,68.35
2020-07-02,22.88,19.29,1.105,70.21
2020-07-03,23.14,19.51,1.1475,72.16
2020-07-06,23.54,19.85,1.7288,75.14
2020-07-07,23.62,19.92,0.3718,75.79
2020-07-08,23.79,20.06,0.6878,77.0
2020-07-09,23.86,20.12,0.3153,77.55
2020-07-10,23.66,19.96,-0.8381,76.07
2020-07-13,24.01,20.25,1.4791,78.67
2020-07-14,24.16,20.38,0.6247,79.79
2020-07-15,24.26,20.46,0.4139,80.53
2020-07-16,24.02,20.26,-0.9789,78.76
2020-07-17,24.3,20.49,1.1446,80.81
2020-07-20,24.26,20.46,-0.1543,80.53
2020-07-21,24.67,20.96,2.439,84.93
2020-07-22,24.74,21.01,0.2533,85.4
2020-07-23,24.71,20.99,-0.1011,85.21
2020-07-24,24.62,20.92,-0.3541,84.56
2020-07-27,25.83,21.94,4.8731,93.55
2020-07-28,25.9,22.0,0.2904,94.12
2020-07-29,25.64,21.78,-1.0135,92.15
2020-07-30,26.01,22.1,1.4627,94.96
2020-07-31,25.95,22.04,-0.2403,94.49
2020-08-03,25.5,21.66,-1.7341,91.12
2020-08-04,25.83,21.94,1.2745,93.55
2020-08-05,26.08,22.15,0.9681,95.43
2020-08-06,26.35,22.38,1.0546,97.49
2020-08-07,26.16,22.22,-0.7116,96.08
2020-08-10,26.4,22.43,0.9078,97.86
2020-08-11,26.2,22.26,-0.7576,96.36
2020-08-12,25.81,21.93,-1.479,93.46
2020-08-13,26.06,22.14,0.9685,95.33
2020-08-14,26.12,22.19,0.2398,95.8
2020-08-17,26.4,22.43,1.0526,97.86
2020-08-18,26.25,22.3,-0.5682,96.74
2020-08-19,26.06,22.14,-0.7143,95.33
2020-08-20,25.15,21.36,-3.5012,88.49
2020-08-21,25.7,21.83,2.1869,92.62
2020-08-24,25.77,21.9,0.2918,93.18
2020-08-25,25.98,22.06,0.7759,94.68
2020-08-26,26.08,22.15,0.385,95.43
2020-08-27,26.14,22.2,0.2397,95.9
2020-08-28,25.88,21.98,-1.0043,93.93
2020-08-31,25.45,21.62,-1.6425,90.74
2020-09-01,25.84,21.95,1.5226,93.65
2020-09-02,25.75,21.87,-0.3386,92.99
2020-09-03,25.83,21.94,0.2912,93.55
2020-09-04,25.64,21.78,-0.726,92.15
2020-09-07,25.6,21.75,-0.1463,91.87
2020-09-08,25.75,21.87,0.5859,92.99
2020-09-09,25.58,21.73,-0.6796,91.68
2020-09-10,25.8,21.92,0.8798,93.37
2020-09-11,25.81,21.93,0.0484,93.46
2020-09-14,26.14,22.2,1.2591,95.9
2020-09-15,26.24,22.29,0.3826,96.64
2020-09-16,26.64,22.63,1.5245,99.64
2020-09-17,26.35,22.38,-1.0793,97.49
2020-09-18,26.33,22.36,-0.0949,97.3
2020-09-21,26.11,22.18,-0.8072,95.71
2020-09-22,25.77,21.9,-1.2925,93.18
2020-09-23,25.74,21.86,-0.1455,92.9
2020-09-24,25.11,21.33,-2.4284,88.21
2020-09-25,25.16,21.37,0.1991,88.59
2020-09-28,25.58,21.73,1.6393,91.68
2020-09-29,25.64,21.78,0.2444,92.15
2020-09-30,25.75,21.87,0.4388,92.99
2020-10-05,25.76,21.88,0.0486,93.08
2020-10-06,26.06,22.14,1.1645,95.33
2020-10-07,26.2,22.26,0.5276,96.36
2020-10-08,26.55,22.55,1.3359,98.99
2020-10-12,26.76,22.73,0.8004,100.58
2020-10-13,26.77,22.74,0.0467,100.67
2020-10-14,26.67,22.66,-0.3735,99.92
2020-10-15,26.42,22.45,-0.9372,98.05
2020-10-16,26.31,22.35,-0.4257,97.21
2020-10-19,26.65,22.64,1.2826,99.74
2020-10-20,26.5,22.51,-0.5628,98.61
2020-10-21,26.49,22.5,-0.0472,98.52
2020-10-22,26.52,22.53,0.1416,98.8
2020-10-23,26.52,22.53,0.0,98.8
2020-10-26,26.52,22.53,0.0,98.8
2020-10-27,26.38,22.4,-0.5655,97.68
2020-10-28,26.25,22.3,-0.4739,96.74
2020-10-29,25.96,22.05,-1.0952,94.58
2020-10-30,25.75,21.87,-0.8185,92.99
2020-11-02,25.85,21.96,0.3883,93.74
2020-11-03,26.15,22.21,1.1605,95.99
2020-11-04,26.54,22.54,1.4818,98.89
2020-11-05,26.51,22.52,-0.0942,98.71
2020-11-06,26.67,22.66,0.6129,99.92
2020-11-09,27.02,22.96,1.3121,102.55
2020-11-10,26.77,22.74,-0.9251,100.67
2020-11-11,27.19,23.09,1.5406,103.76
2020-11-12,27.2,23.11,0.046,103.86
2020-11-13,27.31,23.2,0.4136,104.7
2020-11-16,28.2,23.95,3.2494,111.35
2020-11-17,28.4,24.12,0.7092,112.85
